start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph,travel_time_minutes
Rohini,Saket,29.0,Afternoon,Weekday,Heatwave,Very High,Highway,20.4,88.4
Kalkaji,Connaught Place,11.2,Afternoon,Weekend,Clear,Medium,Highway,48.7,14.3
Preet Vihar,Noida Sector 18,8.57,Evening Peak,Weekday,Clear,High,Main Road,24.8,21.0
Civil Lines,IGI Airport,18.43,Afternoon,Weekend,Clear,Medium,Highway,58.9,21.0
AIIMS,Connaught Place,7.18,Night,Weekend,Clear,Low,Main Road,40.2,10.6
Kalkaji,Karol Bagh,14.25,Evening Peak,Weekday,Clear,Very High,Highway,14.8,56.8
Connaught Place,Noida Sector 18,12.67,Evening Peak,Weekday,Clear,Medium,Main Road,42.4,17.7
Dwarka,Pitampura,15.04,Morning Peak,Weekend,Fog,Medium,Main Road,23.5,37.5
Mayur Vihar,Kalkaji,9.67,Morning Peak,Weekday,Clear,Medium,Main Road,41.6,14.5
Preet Vihar,Noida Sector 18,8.57,Morning Peak,Weekday,Clear,High,Main Road,25.3,23.7
Connaught Place,Preet Vihar,7.48,Afternoon,Weekday,Heatwave,High,Main Road,20.1,23.4
Model Town,Janakpuri,14.54,Afternoon,Weekday,Clear,High,Main Road,23.0,37.1
Kalkaji,Civil Lines,16.3,Night,Weekday,Clear,High,Inner Road,13.2,72.3
Pitampura,Karol Bagh,8.11,Evening Peak,Weekday,Clear,Very High,Inner Road,7.7,65.7
Vasant Kunj,IGI Airport,6.9,Morning Peak,Weekday,Clear,Very High,Main Road,13.8,29.2
Dwarka,Rohini,17.53,Afternoon,Weekday,Clear,High,Highway,37.0,30.0
Rajouri Garden,Punjabi Bagh,2.52,Morning Peak,Weekday,Rain,High,Inner Road,8.3,18.6
Karol Bagh,Model Town,7.02,Evening Peak,Weekday,Fog,Low,Main Road,29.5,14.2
Saket,Civil Lines,17.43,Evening Peak,Weekend,Clear,High,Highway,35.0,31.5
Okhla,Model Town,21.87,Evening Peak,Weekday,Clear,High,Main Road,23.1,58.5
Punjabi Bagh,IGI Airport,12.83,Afternoon,Weekday,Clear,Low,Main Road,38.8,19.5
Vasant Kunj,Pitampura,20.67,Afternoon,Weekday,Rain,Medium,Main Road,28.9,42.2
Greater Kailash,Vasant Kunj,8.11,Afternoon,Weekday,Fog,High,Main Road,13.8,34.6
Rohini,Model Town,13.8,Morning Peak,Weekday,Clear,High,Inner Road,18.0,46.1
Saket,Rohini,29.0,Evening Peak,Weekday,Clear,Very High,Main Road,12.4,146.4
Shahdara,IGI Airport,22.57,Afternoon,Weekend,Clear,Medium,Highway,49.6,28.1
Noida Sector 18,Vasant Kunj,17.44,Afternoon,Weekday,Clear,High,Main Road,30.7,34.8
Pitampura,Hauz Khas,18.42,Evening Peak,Weekend,Rain,High,Inner Road,8.4,134.7
Lajpat Nagar,Okhla,5.46,Afternoon,Weekday,Clear,High,Main Road,22.5,14.5
Greater Kailash,Preet Vihar,11.95,Evening Peak,Weekend,Fog,Low,Main Road,22.1,32.8
Shahdara,Chandni Chowk,6.2,Afternoon,Weekday,Fog,Medium,Main Road,18.8,19.8
Vasant Kunj,AIIMS,7.41,Evening Peak,Weekday,Fog,Low,Main Road,24.6,18.0
Lajpat Nagar,Civil Lines,12.32,Evening Peak,Weekday,Clear,Very High,Main Road,8.8,83.8
Greater Kailash,Punjabi Bagh,16.84,Morning Peak,Weekend,Clear,Medium,Inner Road,24.2,45.6
Noida Sector 18,Pitampura,24.06,Evening Peak,Weekday,Heatwave,Very High,Highway,15.4,97.1
Karol Bagh,Lajpat Nagar,10.19,Afternoon,Weekday,Clear,Medium,Highway,49.9,12.6
Connaught Place,Dwarka,17.23,Morning Peak,Weekday,Clear,Very High,Main Road,11.3,103.4
Hauz Khas,AIIMS,2.2,Morning Peak,Weekend,Rain,High,Inner Road,8.4,15.5
Mayur Vihar,Shahdara,6.61,Afternoon,Weekday,Clear,Medium,Highway,52.4,7.4
AIIMS,Dwarka,16.25,Evening Peak,Weekday,Clear,Medium,Main Road,43.9,21.8
AIIMS,Lajpat Nagar,2.68,Evening Peak,Weekday,Clear,High,Inner Road,8.1,20.3
Connaught Place,Rajouri Garden,9.35,Afternoon,Weekday,Fog,High,Main Road,11.3,51.0
IGI Airport,Connaught Place,14.14,Night,Weekday,Clear,High,Highway,31.4,27.7
Punjabi Bagh,Mayur Vihar,17.1,Morning Peak,Weekday,Clear,Very High,Main Road,9.9,103.7
IGI Airport,Noida Sector 18,22.12,Afternoon,Weekend,Clear,Low,Main Road,58.1,23.3
Lajpat Nagar,Greater Kailash,2.6,Morning Peak,Weekend,Clear,High,Main Road,27.3,5.8
Pitampura,Lajpat Nagar,18.08,Afternoon,Weekday,Rain,High,Highway,26.3,41.8
Saket,Mayur Vihar,13.17,Evening Peak,Weekday,Clear,Medium,Highway,46.0,17.3
Noida Sector 18,Greater Kailash,9.35,Evening Peak,Weekday,Heatwave,High,Main Road,25.4,22.1
Shahdara,Karol Bagh,9.9,Afternoon,Weekday,Clear,Very High,Highway,18.2,35.7
Dwarka,Noida Sector 18,27.45,Evening Peak,Weekday,Fog,Medium,Main Road,21.1,79.5
AIIMS,Civil Lines,12.66,Morning Peak,Weekday,Clear,High,Main Road,22.1,35.8
Rajouri Garden,Punjabi Bagh,2.52,Evening Peak,Weekday,Heatwave,High,Highway,40.6,3.7
Preet Vihar,Shahdara,3.56,Afternoon,Weekend,Heatwave,Medium,Inner Road,19.6,10.8
Connaught Place,Punjabi Bagh,9.3,Afternoon,Weekday,Clear,Low,Main Road,42.3,13.8
Dwarka,Vasant Kunj,13.52,Evening Peak,Weekday,Heatwave,Very High,Highway,15.3,58.5
Janakpuri,Dwarka,5.26,Evening Peak,Weekend,Clear,Medium,Highway,51.7,6.1
Mayur Vihar,Greater Kailash,9.55,Morning Peak,Weekday,Clear,Very High,Main Road,12.4,45.4
Civil Lines,Connaught Place,5.49,Morning Peak,Weekday,Heatwave,High,Inner Road,9.1,37.6
Noida Sector 18,IGI Airport,22.12,Morning Peak,Weekday,Heatwave,Low,Inner Road,18.2,82.7
Hauz Khas,Kalkaji,5.29,Evening Peak,Weekday,Clear,High,Inner Road,16.3,20.2
Rohini,Dwarka,17.53,Morning Peak,Weekday,Clear,High,Main Road,24.8,43.5
Civil Lines,Karol Bagh,4.62,Morning Peak,Weekend,Clear,High,Inner Road,11.9,23.0
Noida Sector 18,Nehru Place,7.47,Evening Peak,Weekday,Fog,High,Main Road,16.9,27.8
Model Town,Preet Vihar,12.75,Afternoon,Weekday,Clear,High,Inner Road,12.0,63.5
Preet Vihar,IGI Airport,21.04,Morning Peak,Weekend,Fog,High,Highway,18.2,69.3
Chandni Chowk,AIIMS,9.5,Morning Peak,Weekday,Clear,High,Inner Road,13.4,45.4
Okhla,Noida Sector 18,6.92,Evening Peak,Weekday,Fog,Very High,Main Road,5.3,79.3
Punjabi Bagh,Rajouri Garden,2.52,Afternoon,Weekend,Fog,Low,Main Road,27.0,5.5
Rohini,Noida Sector 18,33.01,Afternoon,Weekday,Rain,Medium,Main Road,25.9,74.6
Saket,Hauz Khas,2.85,Afternoon,Weekday,Clear,Low,Inner Road,35.3,5.1
Preet Vihar,Lajpat Nagar,9.58,Evening Peak,Weekday,Clear,Very High,Highway,18.0,31.1
Noida Sector 18,Greater Kailash,9.35,Morning Peak,Weekend,Clear,Medium,Highway,46.7,12.5
Greater Kailash,Shahdara,15.04,Evening Peak,Weekday,Clear,Very High,Main Road,13.0,68.5
Chandni Chowk,Noida Sector 18,12.9,Night,Weekday,Fog,Low,Main Road,25.7,31.5
Civil Lines,Okhla,17.22,Night,Weekday,Fog,Medium,Main Road,17.4,57.9
Vasant Kunj,Nehru Place,9.97,Evening Peak,Weekday,Fog,Very High,Inner Road,4.8,128.1
Nehru Place,AIIMS,4.68,Night,Weekend,Fog,Low,Main Road,26.4,11.2
Greater Kailash,Rajouri Garden,15.57,Afternoon,Weekday,Clear,Medium,Inner Road,16.9,57.7
Kalkaji,Rohini,30.48,Afternoon,Weekday,Fog,High,Highway,17.9,108.0
Noida Sector 18,Dwarka,27.45,Afternoon,Weekend,Fog,Low,Highway,44.1,38.1
Shahdara,Janakpuri,20.44,Evening Peak,Weekday,Clear,Very High,Highway,18.7,64.5
Okhla,Preet Vihar,12.45,Afternoon,Weekday,Rain,Very High,Inner Road,5.9,129.2
Kalkaji,Preet Vihar,12.39,Morning Peak,Weekend,Rain,Medium,Highway,31.8,24.3
IGI Airport,Hauz Khas,9.81,Morning Peak,Weekday,Rain,Very High,Highway,11.5,51.4
IGI Airport,Hauz Khas,9.81,Evening Peak,Weekday,Heatwave,High,Highway,40.6,14.8
Nehru Place,Connaught Place,9.83,Afternoon,Weekend,Clear,Medium,Highway,55.6,11.0
Pitampura,Connaught Place,11.52,Morning Peak,Weekday,Fog,High,Main Road,14.1,51.4
Janakpuri,Saket,15.88,Evening Peak,Weekday,Fog,Very High,Highway,10.3,92.5
Hauz Khas,Preet Vihar,13.62,Afternoon,Weekday,Clear,Medium,Highway,68.1,11.9
Rohini,Vasant Kunj,27.39,Night,Weekend,Clear,Low,Highway,93.3,17.5
Lajpat Nagar,Janakpuri,15.7,Evening Peak,Weekday,Rain,Very High,Main Road,7.6,123.6
Shahdara,Pitampura,15.65,Afternoon,Weekday,Fog,High,Main Road,14.6,63.6
Rajouri Garden,Dwarka,9.64,Morning Peak,Weekday,Clear,Very High,Inner Road,7.7,76.8
Saket,IGI Airport,11.0,Evening Peak,Weekday,Clear,Very High,Highway,19.4,34.9
AIIMS,Hauz Khas,2.2,Afternoon,Weekend,Clear,Medium,Main Road,42.4,3.3
Okhla,Rohini,32.09,Morning Peak,Weekday,Rain,Very High,Highway,11.6,175.1
Saket,Hauz Khas,2.85,Morning Peak,Weekday,Fog,Very High,Inner Road,4.9,39.5
IGI Airport,Dwarka,6.61,Morning Peak,Weekend,Clear,High,Main Road,29.5,14.2
Kalkaji,Janakpuri,18.68,Afternoon,Weekday,Clear,High,Main Road,24.4,45.3
Saket,Janakpuri,15.88,Afternoon,Weekday,Rain,Medium,Highway,34.4,29.0
Hauz Khas,Saket,2.85,Afternoon,Weekday,Clear,Medium,Highway,50.9,3.4
Lajpat Nagar,Connaught Place,7.13,Afternoon,Weekday,Rain,High,Inner Road,8.4,51.3
Model Town,Civil Lines,5.0,Morning Peak,Weekday,Clear,Medium,Inner Road,20.3,14.4
Model Town,Lajpat Nagar,16.71,Evening Peak,Weekday,Clear,Medium,Inner Road,17.0,57.8
Noida Sector 18,IGI Airport,22.12,Afternoon,Weekday,Clear,High,Highway,32.5,48.3
Chandni Chowk,IGI Airport,16.54,Evening Peak,Weekday,Heatwave,High,Main Road,22.5,44.6
Vasant Kunj,Lajpat Nagar,9.65,Afternoon,Weekday,Clear,High,Inner Road,16.0,38.3
Vasant Kunj,Kalkaji,9.44,Morning Peak,Weekend,Clear,High,Main Road,23.2,29.0
Preet Vihar,Mayur Vihar,3.05,Evening Peak,Weekday,Clear,Very High,Main Road,12.0,15.8
Dwarka,Rohini,17.53,Evening Peak,Weekday,Rain,Very High,Highway,11.6,96.2
Saket,Noida Sector 18,12.72,Evening Peak,Weekday,Clear,High,Main Road,27.5,28.0
Model Town,Shahdara,10.5,Afternoon,Weekday,Rain,Low,Main Road,38.2,19.7
Greater Kailash,Chandni Chowk,11.55,Morning Peak,Weekday,Clear,High,Highway,40.1,17.5
Janakpuri,Kalkaji,18.68,Afternoon,Weekday,Heatwave,High,Highway,34.6,34.2
AIIMS,Noida Sector 18,11.33,Morning Peak,Weekday,Clear,High,Main Road,26.6,25.9
Greater Kailash,Chandni Chowk,11.55,Morning Peak,Weekday,Clear,Very High,Main Road,13.1,51.6
Nehru Place,Noida Sector 18,7.47,Afternoon,Weekday,Rain,Low,Highway,44.3,10.1
Saket,Dwarka,17.4,Morning Peak,Weekend,Clear,Very High,Highway,14.8,70.2
Rohini,Pitampura,8.97,Evening Peak,Weekday,Clear,Very High,Main Road,14.6,37.1
Rohini,Preet Vihar,25.98,Morning Peak,Weekend,Clear,Low,Main Road,60.4,26.4
Pitampura,Janakpuri,10.13,Evening Peak,Weekday,Heatwave,High,Main Road,27.5,21.8
AIIMS,Vasant Kunj,7.41,Afternoon,Weekday,Clear,High,Main Road,20.4,22.1
Dwarka,AIIMS,16.25,Morning Peak,Weekend,Clear,Medium,Highway,62.9,15.1
Greater Kailash,Rohini,28.43,Evening Peak,Weekday,Heatwave,High,Highway,34.0,53.5
Preet Vihar,IGI Airport,21.04,Evening Peak,Weekday,Heatwave,Very High,Highway,18.6,70.8
Kalkaji,Saket,4.6,Afternoon,Weekday,Clear,Very High,Inner Road,8.2,34.2
Karol Bagh,Mayur Vihar,11.04,Evening Peak,Weekend,Clear,Low,Highway,82.0,8.3
Kalkaji,Dwarka,21.07,Night,Weekday,Heatwave,Medium,Main Road,25.4,54.8
Dwarka,Nehru Place,20.8,Night,Weekday,Clear,Low,Main Road,35.5,41.7
Karol Bagh,Okhla,15.59,Morning Peak,Weekend,Clear,Medium,Highway,49.4,18.8
Hauz Khas,Vasant Kunj,5.36,Afternoon,Weekday,Rain,Medium,Inner Road,17.6,18.5
Dwarka,Pitampura,15.04,Evening Peak,Weekday,Clear,Very High,Main Road,13.1,68.1
Vasant Kunj,Punjabi Bagh,16.74,Morning Peak,Weekday,Clear,Very High,Highway,15.3,65.0
Civil Lines,Punjabi Bagh,9.27,Afternoon,Weekend,Clear,Medium,Inner Road,24.1,24.3
Kalkaji,Noida Sector 18,8.19,Morning Peak,Weekend,Clear,Very High,Inner Road,8.2,68.8
Okhla,Civil Lines,17.22,Night,Weekday,Heatwave,Low,Inner Road,23.0,44.3
Civil Lines,Okhla,17.22,Morning Peak,Weekday,Clear,Very High,Inner Road,7.9,132.1
AIIMS,Hauz Khas,2.2,Morning Peak,Weekday,Rain,Very High,Main Road,9.1,15.3
IGI Airport,Lajpat Nagar,13.5,Afternoon,Weekday,Clear,Medium,Highway,50.7,16.0
Nehru Place,Civil Lines,14.85,Evening Peak,Weekday,Heatwave,Very High,Highway,16.0,58.6
Saket,Civil Lines,17.43,Morning Peak,Weekend,Clear,Low,Main Road,50.4,22.0
Rajouri Garden,AIIMS,12.31,Night,Weekday,Clear,High,Highway,38.0,20.1
Civil Lines,Kalkaji,16.3,Evening Peak,Weekend,Clear,High,Highway,33.8,30.0
Saket,Rohini,29.0,Evening Peak,Weekday,Clear,Very High,Inner Road,7.7,225.6
Shahdara,Hauz Khas,16.26,Evening Peak,Weekday,Clear,Medium,Main Road,27.9,36.6
Preet Vihar,Civil Lines,7.88,Morning Peak,Weekday,Heatwave,High,Main Road,27.0,18.0
IGI Airport,Karol Bagh,13.83,Morning Peak,Weekday,Clear,Very High,Main Road,9.0,90.6
Janakpuri,Greater Kailash,16.54,Afternoon,Weekday,Heatwave,High,Highway,29.6,33.6
Mayur Vihar,Noida Sector 18,5.74,Morning Peak,Weekday,Clear,High,Main Road,28.6,12.1
Okhla,Kalkaji,1.94,Evening Peak,Weekday,Rain,High,Highway,29.4,4.6
Janakpuri,Mayur Vihar,20.24,Evening Peak,Weekday,Clear,High,Main Road,25.4,51.7
Noida Sector 18,IGI Airport,22.12,Afternoon,Weekday,Rain,Low,Highway,44.4,30.3
Nehru Place,Lajpat Nagar,2.8,Night,Weekday,Clear,Low,Highway,76.3,2.1
Okhla,Rohini,32.09,Evening Peak,Weekday,Rain,High,Highway,29.5,65.7
Chandni Chowk,Hauz Khas,11.65,Evening Peak,Weekend,Clear,Medium,Main Road,33.1,21.5
Model Town,Lajpat Nagar,16.71,Morning Peak,Weekday,Clear,High,Highway,37.7,26.0
Preet Vihar,Mayur Vihar,3.05,Morning Peak,Weekday,Rain,High,Main Road,20.7,9.2
Connaught Place,Karol Bagh,3.42,Afternoon,Weekday,Clear,Medium,Main Road,34.1,6.2
Rajouri Garden,Saket,15.91,Morning Peak,Weekday,Clear,Very High,Main Road,10.8,92.6
Connaught Place,Karol Bagh,3.42,Evening Peak,Weekend,Heatwave,Very High,Main Road,13.5,17.1
Dwarka,Lajpat Nagar,18.84,Evening Peak,Weekday,Clear,High,Highway,39.0,33.0
Pitampura,Civil Lines,9.41,Night,Weekday,Clear,Medium,Main Road,33.4,16.6
Preet Vihar,AIIMS,11.51,Evening Peak,Weekend,Heatwave,High,Main Road,19.4,36.5
Model Town,Noida Sector 18,20.73,Evening Peak,Weekday,Heatwave,High,Highway,30.9,41.0
Okhla,Civil Lines,17.22,Morning Peak,Weekend,Clear,Medium,Main Road,44.9,22.5
Saket,Model Town,21.24,Evening Peak,Weekday,Heatwave,High,Highway,38.1,33.5
Janakpuri,Kalkaji,18.68,Evening Peak,Weekday,Clear,Very High,Main Road,10.5,112.7
Rajouri Garden,Hauz Khas,13.23,Afternoon,Weekday,Clear,Medium,Main Road,44.4,17.6
Hauz Khas,AIIMS,2.2,Afternoon,Weekday,Fog,Medium,Main Road,17.1,8.0
Janakpuri,IGI Airport,7.4,Morning Peak,Weekend,Clear,Low,Main Road,38.8,11.7
AIIMS,Hauz Khas,2.2,Morning Peak,Weekday,Clear,High,Inner Road,19.1,7.6
Pitampura,IGI Airport,16.75,Night,Weekday,Clear,Medium,Main Road,38.7,26.4
Dwarka,Rohini,17.53,Evening Peak,Weekday,Clear,High,Highway,45.8,23.1
Okhla,Nehru Place,2.67,Evening Peak,Weekday,Clear,High,Main Road,24.7,6.5
Mayur Vihar,Lajpat Nagar,7.45,Evening Peak,Weekday,Clear,Very High,Main Road,12.2,38.2
IGI Airport,Shahdara,22.57,Morning Peak,Weekend,Fog,Low,Highway,40.9,37.8
Karol Bagh,Saket,14.26,Evening Peak,Weekday,Clear,Very High,Main Road,12.8,68.4
Janakpuri,Hauz Khas,13.61,Afternoon,Weekday,Fog,High,Main Road,16.5,52.3
Hauz Khas,Nehru Place,5.2,Morning Peak,Weekday,Clear,Very High,Inner Road,8.2,40.1
Janakpuri,Kalkaji,18.68,Evening Peak,Weekday,Clear,Very High,Highway,16.4,66.7
Rajouri Garden,Lajpat Nagar,14.1,Evening Peak,Weekday,Clear,Very High,Inner Road,8.3,101.7
Rajouri Garden,Hauz Khas,13.23,Afternoon,Weekday,Clear,Medium,Main Road,42.6,18.4
Connaught Place,Nehru Place,9.83,Evening Peak,Weekday,Rain,High,Inner Road,8.0,76.8
IGI Airport,Saket,11.0,Evening Peak,Weekday,Heatwave,High,Highway,39.7,17.0
Mayur Vihar,Greater Kailash,9.55,Afternoon,Weekday,Clear,Medium,Inner Road,19.2,33.4
Noida Sector 18,Lajpat Nagar,8.66,Evening Peak,Weekday,Clear,Very High,Inner Road,7.6,70.6
IGI Airport,Kalkaji,15.01,Evening Peak,Weekday,Clear,High,Highway,33.6,26.4
IGI Airport,Preet Vihar,21.04,Morning Peak,Weekday,Clear,High,Highway,38.1,34.0
Okhla,Greater Kailash,4.03,Afternoon,Weekday,Clear,Medium,Main Road,29.1,8.7
Punjabi Bagh,Pitampura,3.98,Evening Peak,Weekday,Heatwave,High,Main Road,21.9,11.4
Model Town,Lajpat Nagar,16.71,Morning Peak,Weekend,Clear,High,Highway,41.1,25.1
Shahdara,Rohini,24.21,Evening Peak,Weekday,Rain,Very High,Main Road,7.0,203.0
Pitampura,Kalkaji,22.07,Night,Weekday,Clear,Low,Inner Road,41.4,36.0
Okhla,Saket,6.33,Morning Peak,Weekday,Clear,Medium,Main Road,41.4,9.0
Okhla,Preet Vihar,12.45,Evening Peak,Weekday,Clear,Very High,Main Road,13.9,54.2
Punjabi Bagh,Lajpat Nagar,15.06,Afternoon,Weekday,Clear,Medium,Main Road,45.0,20.1
Noida Sector 18,Punjabi Bagh,21.94,Morning Peak,Weekday,Clear,Very High,Highway,21.1,66.1
IGI Airport,Okhla,16.94,Afternoon,Weekday,Heatwave,High,Highway,29.5,36.4
Civil Lines,Saket,17.43,Evening Peak,Weekday,Clear,High,Highway,41.9,25.6
Lajpat Nagar,IGI Airport,13.5,Afternoon,Weekday,Fog,Very High,Highway,9.4,96.4
AIIMS,Connaught Place,7.18,Afternoon,Weekday,Rain,High,Main Road,17.7,25.7
Vasant Kunj,Model Town,22.01,Night,Weekend,Clear,Low,Main Road,53.8,24.8
Nehru Place,Saket,5.32,Afternoon,Weekday,Clear,Low,Inner Road,16.0,19.5
Model Town,Vasant Kunj,22.01,Morning Peak,Weekend,Clear,High,Highway,33.2,41.8
Rohini,Saket,29.0,Evening Peak,Weekend,Clear,High,Highway,35.4,51.0
Lajpat Nagar,Shahdara,12.53,Evening Peak,Weekend,Rain,Medium,Main Road,28.8,26.0
Karol Bagh,Mayur Vihar,11.04,Afternoon,Weekday,Rain,High,Highway,27.6,24.1
AIIMS,Nehru Place,4.68,Afternoon,Weekend,Heatwave,Medium,Inner Road,10.3,26.5
Punjabi Bagh,Civil Lines,9.27,Afternoon,Weekday,Heatwave,High,Main Road,18.4,31.5
Hauz Khas,Kalkaji,5.29,Evening Peak,Weekday,Fog,Very High,Main Road,6.1,51.4
Vasant Kunj,AIIMS,7.41,Morning Peak,Weekday,Fog,Very High,Inner Road,4.8,94.8
Noida Sector 18,Vasant Kunj,17.44,Morning Peak,Weekday,Clear,High,Highway,31.9,34.6
Rajouri Garden,Vasant Kunj,14.56,Morning Peak,Weekday,Clear,Medium,Main Road,29.4,31.1
Nehru Place,Shahdara,14.22,Morning Peak,Weekday,Clear,High,Main Road,23.1,39.0
Connaught Place,Hauz Khas,9.27,Evening Peak,Weekend,Clear,Very High,Main Road,11.7,49.0
Rajouri Garden,Dwarka,9.64,Afternoon,Weekday,Clear,High,Main Road,19.5,31.0
Rohini,Preet Vihar,25.98,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.6,116.5
Connaught Place,Hauz Khas,9.27,Evening Peak,Weekday,Heatwave,High,Main Road,22.1,26.4
Punjabi Bagh,Noida Sector 18,21.94,Night,Weekday,Heatwave,Medium,Highway,66.6,20.3
Mayur Vihar,Noida Sector 18,5.74,Afternoon,Weekday,Fog,Medium,Inner Road,9.4,36.3
AIIMS,Okhla,7.2,Evening Peak,Weekday,Clear,High,Main Road,27.3,15.4
IGI Airport,Connaught Place,14.14,Afternoon,Weekday,Fog,Low,Main Road,29.6,28.4
Greater Kailash,Chandni Chowk,11.55,Morning Peak,Weekend,Clear,Low,Highway,84.4,8.6
Preet Vihar,Vasant Kunj,18.93,Night,Weekend,Clear,Low,Highway,60.8,19.0
Kalkaji,Pitampura,22.07,Afternoon,Weekend,Rain,Low,Highway,63.2,21.6
AIIMS,Rohini,25.2,Afternoon,Weekday,Clear,High,Highway,37.7,42.3
Vasant Kunj,Karol Bagh,15.08,Night,Weekday,Clear,Low,Main Road,50.6,17.9
Mayur Vihar,Rajouri Garden,17.23,Morning Peak,Weekday,Heatwave,Medium,Highway,59.0,20.7
Kalkaji,Nehru Place,1.51,Evening Peak,Weekday,Rain,Low,Main Road,30.6,3.1
Greater Kailash,Punjabi Bagh,16.84,Evening Peak,Weekday,Clear,Very High,Highway,20.7,47.9
Vasant Kunj,Nehru Place,9.97,Afternoon,Weekday,Clear,Low,Inner Road,19.5,30.2
Karol Bagh,Vasant Kunj,15.08,Morning Peak,Weekday,Heatwave,High,Highway,36.0,25.6
Greater Kailash,Vasant Kunj,8.11,Night,Weekday,Clear,Low,Main Road,41.3,12.0
Shahdara,Karol Bagh,9.9,Evening Peak,Weekday,Clear,Very High,Main Road,15.0,44.7
Civil Lines,Vasant Kunj,19.08,Morning Peak,Weekday,Fog,Very High,Highway,8.7,132.6
AIIMS,Noida Sector 18,11.33,Evening Peak,Weekday,Clear,High,Main Road,24.1,29.1
Model Town,Janakpuri,14.54,Afternoon,Weekday,Heatwave,Medium,Highway,64.4,13.4
Janakpuri,Punjabi Bagh,6.67,Afternoon,Weekday,Rain,Medium,Inner Road,16.1,26.3
Vasant Kunj,Rajouri Garden,14.56,Morning Peak,Weekday,Clear,Low,Highway,64.5,13.8
Connaught Place,Greater Kailash,9.57,Night,Weekend,Clear,High,Main Road,23.5,25.4
Noida Sector 18,Vasant Kunj,17.44,Afternoon,Weekend,Clear,Low,Highway,71.7,15.0
Okhla,Civil Lines,17.22,Evening Peak,Weekday,Heatwave,Very High,Highway,16.5,66.1
Mayur Vihar,Pitampura,18.76,Evening Peak,Weekday,Clear,Very High,Inner Road,8.3,133.7
Janakpuri,Okhla,20.56,Afternoon,Weekday,Heatwave,High,Highway,32.3,38.4
Greater Kailash,Kalkaji,2.15,Afternoon,Weekday,Fog,Medium,Inner Road,8.3,16.5
Okhla,Model Town,21.87,Night,Weekend,Rain,Low,Highway,55.4,23.1
Chandni Chowk,Lajpat Nagar,8.98,Morning Peak,Weekday,Heatwave,High,Highway,28.2,21.6
Pitampura,Saket,21.25,Afternoon,Weekday,Clear,Medium,Highway,65.8,20.3
Dwarka,Punjabi Bagh,11.86,Afternoon,Weekday,Clear,Medium,Main Road,30.9,23.7
Civil Lines,Pitampura,9.41,Night,Weekday,Clear,Medium,Main Road,26.7,20.8
Saket,Civil Lines,17.43,Afternoon,Weekday,Rain,Medium,Highway,44.2,23.6
Civil Lines,Chandni Chowk,3.35,Evening Peak,Weekday,Clear,High,Main Road,18.3,10.9
AIIMS,Punjabi Bagh,13.63,Afternoon,Weekday,Clear,Medium,Highway,49.3,19.6
Punjabi Bagh,Preet Vihar,16.03,Morning Peak,Weekday,Fog,Very High,Highway,11.2,84.6
Hauz Khas,Vasant Kunj,5.36,Evening Peak,Weekend,Clear,High,Main Road,24.5,13.7
Nehru Place,Dwarka,20.8,Afternoon,Weekend,Rain,High,Highway,25.1,54.3
Kalkaji,Punjabi Bagh,18.89,Morning Peak,Weekday,Clear,Medium,Main Road,38.8,28.9
Preet Vihar,Okhla,12.45,Morning Peak,Weekday,Clear,Very High,Main Road,15.1,54.1
Shahdara,Punjabi Bagh,15.41,Afternoon,Weekday,Clear,Medium,Highway,58.2,16.1
Chandni Chowk,Nehru Place,11.5,Afternoon,Weekday,Clear,High,Highway,32.0,21.6
Dwarka,Kalkaji,21.07,Afternoon,Weekday,Clear,High,Highway,33.3,38.8
Preet Vihar,Greater Kailash,11.95,Evening Peak,Weekend,Rain,High,Highway,26.9,27.7
Vasant Kunj,Civil Lines,19.08,Afternoon,Weekday,Clear,Medium,Highway,52.9,21.2
Vasant Kunj,Dwarka,13.52,Evening Peak,Weekday,Heatwave,Very High,Highway,16.0,55.6
Noida Sector 18,Rohini,33.01,Evening Peak,Weekend,Clear,High,Highway,37.6,52.0
Preet Vihar,IGI Airport,21.04,Afternoon,Weekday,Clear,Medium,Highway,59.2,23.3
Janakpuri,Chandni Chowk,14.33,Morning Peak,Weekend,Heatwave,Low,Main Road,35.0,25.4
Vasant Kunj,Kalkaji,9.44,Night,Weekday,Clear,Low,Main Road,37.8,15.3
IGI Airport,Rohini,21.91,Morning Peak,Weekday,Rain,High,Highway,31.2,45.7
Civil Lines,Kalkaji,16.3,Night,Weekend,Clear,Low,Highway,63.7,15.6
Connaught Place,Dwarka,17.23,Night,Weekday,Fog,Low,Main Road,27.3,39.2
Rohini,Janakpuri,14.51,Evening Peak,Weekday,Clear,Very High,Highway,20.3,44.3
Connaught Place,Kalkaji,11.2,Evening Peak,Weekday,Rain,Very High,Highway,11.6,58.6
Okhla,Karol Bagh,15.59,Evening Peak,Weekday,Heatwave,Very High,Highway,18.3,49.7
Shahdara,Okhla,15.92,Evening Peak,Weekend,Clear,High,Main Road,17.5,55.2
Vasant Kunj,IGI Airport,6.9,Morning Peak,Weekday,Heatwave,Medium,Main Road,37.3,11.3
Model Town,Karol Bagh,7.02,Afternoon,Weekday,Fog,Low,Main Road,25.7,16.4
